Batch Size,Hidden Size,Dropout Rate,Learning Rate,Weight Decay,Optimizer,Scheduler,Test Accuracy,Test Loss
64,1024,0.1,0.005,0.001,SGD,ReduceLROnPlateau,0.4391,1.6098569707870483
64,1024,0.1,0.005,0.001,RMSprop,ReduceLROnPlateau,0.1393,5.694872847175598
64,1024,0.1,0.001,0.0001,SGD,ReduceLROnPlateau,0.395,1.7522177433013917
64,1024,0.1,0.001,0.0001,RMSprop,ReduceLROnPlateau,0.3107,1.933788346862793
64,1024,0.1,0.001,0.0005,SGD,ReduceLROnPlateau,0.3924,1.7547782997131347
64,1024,0.1,0.001,0.0005,RMSprop,ReduceLROnPlateau,0.3481,2.1398644216537477
64,1024,0.1,0.001,0.001,SGD,ReduceLROnPlateau,0.3958,1.760082667541504
64,1024,0.1,0.001,0.001,RMSprop,ReduceLROnPlateau,0.4113,1.6507261589050293
64,1024,0.3,0.01,0.0001,SGD,ReduceLROnPlateau,0.4002,1.56853082447052
64,1024,0.3,0.01,0.0001,RMSprop,ReduceLROnPlateau,0.1423,10.892358323097229
64,1024,0.3,0.01,0.0005,SGD,ReduceLROnPlateau,0.4528,1.5355821321487426
64,1024,0.3,0.01,0.0005,RMSprop,ReduceLROnPlateau,0.2906,2.329881091308594
64,1024,0.3,0.01,0.001,SGD,ReduceLROnPlateau,0.4504,1.5448115228652954
64,1024,0.3,0.01,0.001,RMSprop,ReduceLROnPlateau,0.2771,1.9833986804962158
64,1024,0.3,0.005,0.0001,SGD,ReduceLROnPlateau,0.4285,1.6107496503829957
64,1024,0.3,0.005,0.0001,RMSprop,ReduceLROnPlateau,0.2835,1.762362907409668
64,1024,0.3,0.005,0.0005,SGD,ReduceLROnPlateau,0.4448,1.588960369682312
64,1024,0.3,0.005,0.0005,RMSprop,ReduceLROnPlateau,0.3148,1.6588156391143798
64,1024,0.3,0.005,0.001,SGD,ReduceLROnPlateau,0.4307,1.5954191843032837
64,1024,0.3,0.005,0.001,RMSprop,ReduceLROnPlateau,0.3507,1.763177307319641
64,1024,0.3,0.001,0.0001,SGD,ReduceLROnPlateau,0.3951,1.7553483137130736
64,1024,0.3,0.001,0.0001,RMSprop,ReduceLROnPlateau,0.3164,2.0387725784301756
64,1024,0.3,0.001,0.0005,SGD,ReduceLROnPlateau,0.3961,1.753177685546875
64,1024,0.3,0.001,0.0005,RMSprop,ReduceLROnPlateau,0.2722,2.0421872467041013
64,1024,0.3,0.001,0.001,SGD,ReduceLROnPlateau,0.3948,1.754592141342163
64,1024,0.3,0.001,0.001,RMSprop,ReduceLROnPlateau,0.2431,1.986277476119995
64,1024,0.5,0.01,0.0001,SGD,ReduceLROnPlateau,0.4538,1.516122410774231
64,1024,0.5,0.01,0.0001,RMSprop,ReduceLROnPlateau,0.255,2.320757509613037
64,1024,0.5,0.01,0.0005,SGD,ReduceLROnPlateau,0.4144,1.5033527626037597
64,1024,0.5,0.01,0.0005,RMSprop,ReduceLROnPlateau,0.2597,1.956174496269226
64,1024,0.5,0.01,0.001,SGD,ReduceLROnPlateau,0.4571,1.516657900428772
64,1024,0.5,0.01,0.001,RMSprop,ReduceLROnPlateau,0.2766,2.2446978910446167
64,1024,0.5,0.005,0.0001,SGD,ReduceLROnPlateau,0.411,1.6035317699432372
64,1024,0.5,0.005,0.0001,RMSprop,ReduceLROnPlateau,0.3498,1.8737583255767822
64,1024,0.5,0.005,0.0005,SGD,ReduceLROnPlateau,0.4355,1.6053105922698974
64,1024,0.5,0.005,0.0005,RMSprop,ReduceLROnPlateau,0.2717,1.8717115211486817
64,1024,0.5,0.005,0.001,SGD,ReduceLROnPlateau,0.4146,1.6224959913253785
64,1024,0.5,0.005,0.001,RMSprop,ReduceLROnPlateau,0.3643,1.7682310052871704
64,1024,0.5,0.001,0.0001,SGD,ReduceLROnPlateau,0.3924,1.7600930057525634
64,1024,0.5,0.001,0.0001,RMSprop,ReduceLROnPlateau,0.2315,1.9280714862823487
64,1024,0.5,0.001,0.0005,SGD,ReduceLROnPlateau,0.3959,1.7531775146484374
64,1024,0.5,0.001,0.0005,RMSprop,ReduceLROnPlateau,0.4172,1.6259440311431885
64,1024,0.5,0.001,0.001,SGD,ReduceLROnPlateau,0.3946,1.755206552696228
64,1024,0.5,0.001,0.001,RMSprop,ReduceLROnPlateau,0.4049,1.651265864944458
